"Comment","Designator","Footprint","LCSC Part #"
"100uF","C1","CP_EIA-3528-21_Kemet-B","C16133"
"1uF","C2,C4,C7,C13,C15,C16,C17","C_0402_1005Metric","C52923"
"100nF","C3,C5,C8","C_0402_1005Metric","C1525"
"4.7uF","C6,C9,C12,C14","C_0402_1005Metric","C23733"
"2.7pF","C10","C_0402_1005Metric","C1561"
"47pF","C11","C_0402_1005Metric","C1567"
"100R@100MHz","FB1","L_0402_1005Metric","C76891"
"Conn_Coaxial","J1","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount","C2913580"
"1uH","L1","L_0603_1608Metric","C275338"
"68nH","L2","L_0603_1608Metric","C13415"
"8.2nH","L3","L_0402_1005Metric","C84404"
"10k","R1","R_0402_1005Metric","C25744"
"AT2659S","U1","SOT-23-6","C883443"
"SAFFB1G56KB0F0A","U2","Murata_LGA-5","C91647"
"26MHz","X1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C213404"
"32.768k","Y1","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
