Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,-93.980000,-86.360000,180.000000,bottom
J3,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,-111.760000,-104.140000,0.000000,bottom
C1,100uF,CP_EIA-3528-21_Kemet-B,101.300000,-103.762500,180.000000,top
C2,1uF,C_0402_1005Metric,98.500000,-97.862500,180.000000,top
C3,100nF,C_0402_1005Metric,106.700000,-100.462500,0.000000,top
C4,1uF,C_0402_1005Metric,101.700000,-92.200000,90.000000,top
C5,100nF,C_0402_1005Metric,103.700000,-91.062500,0.000000,top
C6,4.7uF,C_0402_1005Metric,106.830000,-97.450000,0.000000,top
C7,1uF,C_0402_1005Metric,98.500000,-96.862500,180.000000,top
C8,100nF,C_0402_1005Metric,103.400000,-101.062500,-90.000000,top
C9,4.7uF,C_0402_1005Metric,106.850000,-99.450000,0.000000,top
C10,2.7pF,C_0402_1005Metric,101.200000,-91.077500,0.000000,top
C11,47pF,C_0402_1005Metric,100.700000,-89.977500,90.000000,top
C12,4.7uF,C_0402_1005Metric,106.830000,-98.450000,0.000000,top
C13,1uF,C_0402_1005Metric,98.800000,-94.362500,90.000000,top
C14,4.7uF,C_0402_1005Metric,98.520000,-95.862500,180.000000,top
C15,1uF,C_0402_1005Metric,106.400000,-96.000000,90.000000,top
C16,1uF,C_0402_1005Metric,103.200000,-91.900000,0.000000,top
C17,1uF,C_0402_1005Metric,99.320000,-92.762500,180.000000,top
FB1,100R@100MHz,L_0402_1005Metric,105.500000,-91.450000,90.000000,top
H1,ToolingHole,ToolingHole_JLCSMT,96.300000,-87.600000,0.000000,top
H2,ToolingHole,ToolingHole_JLCSMT,109.400000,-102.800000,0.000000,top
J1,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,102.870000,-84.562500,180.000000,top
L1,1uH,L_0603_1608Metric,106.200000,-88.962500,90.000000,top
L2,68nH,L_0603_1608Metric,106.800000,-91.962500,90.000000,top
L3,8.2nH,L_0402_1005Metric,100.700000,-92.177500,-90.000000,top
R1,10k,R_0402_1005Metric,98.850000,-89.450000,90.000000,top
U1,AT2659S,SOT-23-6,103.300000,-88.977500,0.000000,top
U2,SAFFB1G56KB0F0A,Murata_LGA-5,100.600000,-88.277500,-90.000000,top
U3,UBX-G7020-KT,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,102.720000,-96.462500,270.000000,top
X1,26MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,105.900000,-103.162500,-90.000000,top
Y1,32.768k,Crystal_SMD_3215-2Pin_3.2x1.5mm,100.800000,-100.862500,0.000000,top
